#;Callsign;Departure_Time;Unnamed: 3;Destination Info;Origin Info;Origin;Dest;Routing;Aircraft Type;Cruise Speed (knots);Max Ceiling (FL);Default RFL;Time Duration;Schedule Arrival Time;path;Altitude;;;;;;;;
1;MI320;05.00.00;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;07:00:00;[WSSS,VTK,VJR,GUPTA,VKL,WMKK];[12000,41000,41000,41000,41000,7000];;;;;;;;
2;3K683;05.00.10;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;08:10:00;[WSSS,VTK,VJR,GUPTA,VKL,WMKK];[7000,31000,31000,31000,31000,12000];;;;;;;;
3;AK700;05.00.20;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;08:45:00;[WSSS,VTK,VJR,GUPTA,VKL,WMKK];[12000,38000,38000,38000,38000,7000];;;;;;;;
4;AK702;05.00.30;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;10:10:00;[WSSS,VTK,VJR,GUPTA,VKL,WMKK];[7000,38000,38000,38000,38000,7000];;;;;;;;
5;3K663;05.00.40;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;10:35:00;[WSSS,VTK,VJR,GUPTA,VKL,WMKK];[7000,33000,33000,33000,33000,12000];;;;;;;;
6;TR2454;05.00.50;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;10:45:00;[WSSS,VTK,VJR,GUPTA,VKL,WMKK];[12000,38000,38000,38000,38000,12000];;;;;;;;
7;MI326;05.01.00;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;11:15:00;[WSSS,VTK,VJR,GUPTA,VKL,WMKK];[7000,36000,36000,36000,36000,7000];;;;;;;;
8;AK704;05.01.10;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;11:30:00;[WSSS,VTK,VJR,GUPTA,VKL,WMKK];[7000,38000,38000,38000,38000,12000];;;;;;;;
9;AK706;05.01.20;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;12:40:00;[WSSS,VTK,VJR,GUPTA,VKL,WMKK];[12000,33000,33000,33000,33000,12000];;;;;;;;
10;MI328;05.01.30;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;13:45:00;[WSSS,VTK,VJR,GUPTA,VKL,WMKK];[12000,41000,41000,41000,41000,12000];;;;;;;;
11;3K685;05.01.40;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;13:50:00;[WSSS,VTK,VJR,GUPTA,VKL,WMKK];[12000,36000,36000,36000,36000,7000];;;;;;;;
12;AK710;05.01.50;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;14:30:00;[WSSS,VTK,VJR,GUPTA,VKL,WMKK];[7000,31000,31000,31000,31000,7000];;;;;;;;
13;AK712;05.02.00;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;15:10:00;[WSSS,VTK,VJR,GUPTA,VKL,WMKK];[7000,38000,38000,38000,38000,12000];;;;;;;;
14;MI330;05.02.10;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;16:25:00;[WSSS,VTK,VJR,GUPTA,VKL,WMKK];[7000,31000,31000,31000,31000,12000];;;;;;;;
15;AK714;05.02.20;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;17:10:00;[WSSS,VTK,VJR,GUPTA,VKL,WMKK];[12000,33000,33000,33000,33000,12000];;;;;;;;
16;TR2464;05.02.30;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;17:35:00;[WSSS,VTK,VJR,GUPTA,VKL,WMKK];[12000,33000,33000,33000,33000,7000];;;;;;;;
17;AK716;05.02.40;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;20:10:00;[WSSS,VTK,VJR,GUPTA,VKL,WMKK];[12000,38000,38000,38000,38000,12000];;;;;;;;
18;TR2466;05.02.50;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;20:20:00;[WSSS,VTK,VJR,GUPTA,VKL,WMKK];[12000,33000,33000,33000,33000,7000];;;;;;;;
19;3K687;05.03.00;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;20:35:00;[WSSS,VTK,VJR,GUPTA,VKL,WMKK];[12000,38000,38000,38000,38000,7000];;;;;;;;
20;MI342;05.03.10;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;21:00:00;[WSSS,VTK,VJR,GUPTA,VKL,WMKK];[12000,31000,31000,31000,31000,7000];;;;;;;;
21;AK718;05.03.20;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;21:45:00;[WSSS,VTK,VJR,GUPTA,VKL,WMKK];[7000,41000,41000,41000,41000,7000];;;;;;;;
22;AK720;05.03.30;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;22:20:00;[WSSS,VTK,VJR,GUPTA,VKL,WMKK];[7000,33000,33000,33000,33000,7000];;;;;;;;
23;SQ106;05.03.40;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A330;470;410;FL200;01:00:00;09:30:00;[WSSS,VTK,VJR,GUPTA,VKL,WMKK];[7000,33000,33000,33000,33000,12000];;;;;;;;
